,name,avg_viewers,time_streamed,all_time_peak_viewers,hours_watched,rank,follower_gained,total_followers,total_views
1561,LEFULSE,67,79.4,823,5300.0,30179,42.0,4800.0,--
1562,TAELTH,84,43.5,152,3600.0,30238,19.0,474,--
1563,BOURBIER76,46,154.0,841,7200.0,30301,141.0,10600.0,--
1564,YOZIXON,114,8.3,146,947.0,30313,7.0,53,--
1565,NAKATINE_,61,92.9,1963,5700.0,30342,209.0,52500.0,656000
1566,ENIWARA,59,99.8,2578,5900.0,30347,44.0,17500.0,--
1567,CAPT_N_BILL,46,152.7,612,7000.0,30372,40.0,3100.0,--
1568,SADIO,65,82.9,3436,5400.0,30406,142.0,23000.0,--
1569,VICKY_SPLEEN,83,44.4,2446,3700.0,30408,76.0,4800.0,--
1570,MISTYEE,86,40.3,2506,3400.0,30467,46.0,2700.0,--
1571,ONI_,94,28.2,3478,2600.0,30487,26.0,18200.0,258000
1572,SAWSIK,82,45.2,870,3700.0,30498,77.0,23600.0,592000
1573,EXPERIENCESPORT,61,93.5,392,5700.0,30506,115.0,13600.0,--
1574,THATDAMNGIRLL,93,29.5,1289,2700.0,30518,574.0,64900.00000000001,269000
1575,MIDAURI,78,52.4,2745,4100.0,30523,838.0,6000.0,--
1576,JOHNCUTT,61,92.3,289,5700.0,30539,23.0,2600.0,--
1577,STARLESSJV,67,74.9,216,5000.0,30609,50.0,3900.0,--
1578,PROFGRAVE,83,43.3,1766,3600.0,30623,52.0,10200.0,--
1579,FR_XEN,97,23.9,140,2300.0,30625,793.0,853,--
1580,NEEXTER69,67,75.3,288,5000.0,30655,467.0,2900.0,--
1581,MAIDUSAA,85,39.9,207,3400.0,30673,527.0,6700.0,--
1582,CHAZZUP,86,39.0,778,3300.0,30682,147.0,10200.0,--
1583,GRIS_SOURIS,43,169.1,1468,7200.0,30685,130.0,12000.0,363000
1584,SIANAAA____,39,193.9,274,7600.0,30712,888.0,1000.0,--
1585,NAZASTAINOR,100,20.6,526,2100.0,30721,64.0,506,--
1586,KEUHN,85,39.6,573,3400.0,30759,25.0,11000.0,474000
1587,JEAN7GROSBIG,61,90.3,2638,5500.0,30765,140.0,7000.0,--
1588,MARICANNE,57,103.8,138,5900.0,30777,525.0,2900.0,--
1589,M3RY,68,71.9,494,4900.0,30784,53.0,71600.0,1780000.0
1590,PSG,115,5.4,41568,612.0,30794,618.0,531000,9490000.0
1591,TAVERNAIN,59,96.8,759,5700.0,30802,36.0,7800.0,--
1592,LALLALOULOUDOUBRAA,64,81.9,615,5300.0,30817,1000.0,5500.0,--
1593,PHILIBERTJEUX,100,19.6,168,2000.0,30840,67.0,3600.0,--
1594,TRAAAKE,86,36.8,456,3200.0,30945,64.0,4200.0,--
1595,ULFHEDNARR,69,68.1,581,4700.0,30946,267.0,1200.0,--
1596,LAGROSSE50,79,48.4,1414,3800.0,30976,261.0,3000.0,--
1597,LES_MANIGANCES,73,59.6,298,4400.0,30982,47.0,1600.0,--
1598,XTREM_INFO,93,27.4,318,2600.0,30986,37.0,3600.0,--
1599,MALCOLM_SERIES_,109,9.9,225,1100.0,30994,191.0,194,--
1600,KOWAI_GAMING,108,10.6,1057,1100.0,31021,26.0,8900.0,--
1601,KEYDEEGAMERBOY,82,43.0,14196,3500.0,31023,3.0,15400.0,1270000.0
1602,LUKAARI,111,7.7,489,852.0,31024,166.0,3100.0,--
1603,AZNDARK,49,131.0,387,6500.0,31034,6.0,25900.0,473000
1604,MESSIEURSCITRONNELLE,41,173.4,336,7200.0,31037,10.0,6600.0,383000
1605,GL4ND3LF,38,195.7,153,7500.0,31068,81.0,3600.0,--
1606,ZEREK_,30,277.5,145,8200.0,31074,334.0,1100.0,--
1607,OGBLOB,55,107.5,1126,5900.0,31090,123.0,8600.0,--
1608,CLOTHO,79,48.0,387,3800.0,31091,67.0,5200.0,--
1609,AKIIRAL2,107,11.3,2420,1200.0,31098,416.0,20000.0,--
1610,SHINOLAFRITE,56,105.4,375,5900.0,31104,1700.0,55200.0,--
1611,ROGER_SMITH_FR,54,111.1,314,6000.0,31116,540.0,546,--
1612,JMAXIMUSS,74,56.9,4287,4200.0,31139,67.0,11100.0,--
1613,MYNH_,72,59.8,2850,4300.0,31169,123.0,37200.0,443000
1614,NEMA,56,102.2,2380,5800.0,31242,15.0,14500.0,264000
1615,EPENSER,103,15.1,5625,1500.0,31253,99.0,38800.0,414000
1616,KELYANVF,106,11.7,325,1200.0,31275,196.0,6500.0,--
1617,MIYUNATV,92,27.7,1454,2500.0,31282,16.0,42500.0,233000
1618,SORAREDATA,110,8.0,619,877.0,31301,13.0,3300.0,--
1619,PENELOPE_GAMING_FR,83,40.0,564,3300.0,31305,55.0,5400.0,--
1620,GLENATLIVE,84,37.6,2017,3200.0,31318,163.0,9400.0,--
1621,SD_KAIDO,94,24.4,1200,2300.0,31321,53.0,6500.0,--
1622,TMS_SPIKER,102,14.9,136,1500.0,31335,1000.0,1000.0,--
1623,OHMYDOGE_,89,30.4,2885,2700.0,31342,16.0,2600.0,--
